Wavenumber, 11301_2-16.SPA, 113121_2-22.SPA, 113151_2-22.SPA, 113181_2-22.SPA, 113241_2-22.SPA, 113301_2-22.SPA, 11331_2-16.SPA, 113361_2-22.SPA, 11361_2-16.SPA, 11391_2-22.SPA
1810, 98.3314, 98.5791, 98.7823, 98.5991, 98.7085, 98.6335, 98.5007, 98.5568, 98.6933, 98.9914
1809.94, 98.3383, 98.5844, 98.7829, 98.6013, 98.7137, 98.6321, 98.507, 98.5639, 98.6972, 98.9963
1809.88, 98.347, 98.5936, 98.7845, 98.6022, 98.7211, 98.6317, 98.517, 98.5695, 98.6967, 98.999
1809.82, 98.357, 98.6064, 98.7858, 98.6016, 98.7284, 98.6305, 98.5297, 98.5732, 98.6925, 98.9979
1809.76, 98.3676, 98.6218, 98.7858, 98.6004, 98.7331, 98.6272, 98.5432, 98.5756, 98.6856, 98.992
1809.7, 98.3782, 98.6381, 98.7842, 98.5996, 98.734, 98.6213, 98.5554, 98.5776, 98.6769, 98.9807
1809.64, 98.3886, 98.653, 98.7812, 98.6004, 98.7308, 98.6136, 98.5644, 98.5802, 98.6672, 98.9643
1809.58, 98.3986, 98.6646, 98.7775, 98.6034, 98.7246, 98.6056, 98.5686, 98.5839, 98.6573, 98.9436
1809.52, 98.4078, 98.671, 98.7738, 98.6084, 98.7176, 98.5995, 98.567, 98.5885, 98.6484, 98.9201
1809.46, 98.4158, 98.6717, 98.7704, 98.6146, 98.7124, 98.5971, 98.5596, 98.5934, 98.6413, 98.8955
1809.4, 98.4218, 98.6669, 98.7671, 98.6204, 98.7111, 98.599, 98.5472, 98.5972, 98.6369, 98.872
1809.34, 98.4252, 98.6579, 98.7632, 98.6244, 98.7149, 98.6053, 98.5316, 98.5989, 98.6358, 98.8516
1809.28, 98.4253, 98.6467, 98.758, 98.6257, 98.7236, 98.6145, 98.5148, 98.5976, 98.6378, 98.8361
1809.22, 98.4217, 98.6354, 98.7506, 98.6238, 98.7361, 98.6253, 98.4993, 98.5932, 98.6425, 98.8268
1809.16, 98.4144, 98.6262, 98.7406, 98.6191, 98.7503, 98.636, 98.4872, 98.5865, 98.6488, 98.8242
1809.1, 98.4039, 98.6204, 98.7281, 98.6125, 98.7642, 98.6458, 98.4801, 98.5786, 98.656, 98.8277
1809.04, 98.391, 98.6182, 98.7143, 98.6048, 98.7768, 98.6547, 98.4783, 98.5712, 98.6637, 98.836
1808.98, 98.3769, 98.6192, 98.7005, 98.5971, 98.7875, 98.6631, 98.4813, 98.5656, 98.6719, 98.847
1808.92, 98.3627, 98.6219, 98.6885, 98.5903, 98.797, 98.6716, 98.4876, 98.5629, 98.6807, 98.8585
1808.86, 98.3495, 98.6249, 98.68, 98.5849, 98.8063, 98.6802, 98.4951, 98.5634, 98.6905, 98.8687
1808.8, 98.3381, 98.6266, 98.6761, 98.5812, 98.8158, 98.6884, 98.5018, 98.5672, 98.7008, 98.8766
1808.74, 98.329, 98.626, 98.6771, 98.5795, 98.8252, 98.6948, 98.5062, 98.5737, 98.7106, 98.8825
1808.68, 98.3222, 98.6223, 98.6822, 98.5797, 98.8331, 98.6979, 98.5078, 98.5823, 98.7183, 98.8874
1808.62, 98.3175, 98.6157, 98.6897, 98.5817, 98.8372, 98.6966, 98.5064, 98.5923, 98.7221, 98.893
1808.56, 98.3147, 98.6063, 98.6973, 98.5854, 98.835, 98.6905, 98.503, 98.6027, 98.7209, 98.9006
1808.5, 98.3135, 98.5946, 98.7028, 98.5902, 98.8252, 98.6806, 98.4982, 98.6126, 98.7141, 98.9109
1808.44, 98.3137, 98.5812, 98.7043, 98.5956, 98.8077, 98.6682, 98.4929, 98.621, 98.7024, 98.9232
1808.38, 98.3151, 98.5669, 98.7011, 98.6012, 98.7844, 98.6555, 98.487, 98.6265, 98.6874, 98.9359
1808.32, 98.3175, 98.5527, 98.6938, 98.6063, 98.7586, 98.6441, 98.4802, 98.628, 98.6712, 98.9469
1808.26, 98.3204, 98.5396, 98.6837, 98.6103, 98.7342, 98.6347, 98.472, 98.6245, 98.6557, 98.954
1808.2, 98.3232, 98.5287, 98.673, 98.6124, 98.7145, 98.6274, 98.4616, 98.6156, 98.6427, 98.9561
1808.13, 98.3252, 98.5207, 98.6636, 98.6124, 98.7019, 98.6213, 98.4487, 98.6017, 98.6332, 98.9533
1808.07, 98.3255, 98.5159, 98.6569, 98.6097, 98.6966, 98.615, 98.4336, 98.5842, 98.628, 98.9468
1808.01, 98.3236, 98.5139, 98.6534, 98.6044, 98.6978, 98.6077, 98.4171, 98.565, 98.6273, 98.9391
1807.95, 98.3194, 98.5138, 98.6528, 98.5967, 98.7033, 98.5989, 98.4006, 98.5466, 98.6312, 98.9323
1807.89, 98.3136, 98.5142, 98.6542, 98.5876, 98.7109, 98.5893, 98.3853, 98.5313, 98.6392, 98.9285
1807.83, 98.3072, 98.5142, 98.6562, 98.578, 98.719, 98.5798, 98.3725, 98.5209, 98.6502, 98.928
1807.77, 98.3018, 98.5131, 98.658, 98.5693, 98.7263, 98.572, 98.3629, 98.5164, 98.6627, 98.9301
1807.71, 98.299, 98.511, 98.6589, 98.5625, 98.7322, 98.5673, 98.3565, 98.5179, 98.6743, 98.9328
1807.65, 98.2998, 98.5088, 98.6589, 98.5586, 98.7366, 98.5665, 98.3531, 98.5243, 98.683, 98.934
1807.59, 98.3049, 98.5077, 98.6582, 98.5577, 98.7391, 98.5698, 98.3521, 98.5342, 98.6866, 98.9317
1807.53, 98.3136, 98.5089, 98.6573, 98.5595, 98.7393, 98.5767, 98.3529, 98.5456, 98.684, 98.9251
1807.47, 98.3249, 98.5135, 98.6568, 98.5633, 98.7371, 98.5859, 98.3555, 98.5568, 98.6753, 98.9148
1807.41, 98.3367, 98.5216, 98.6574, 98.5679, 98.7324, 98.5958, 98.3598, 98.5662, 98.6618, 98.9024
1807.35, 98.3469, 98.5331, 98.6596, 98.5723, 98.7262, 98.6044, 98.3663, 98.5728, 98.6457, 98.8903
1807.29, 98.3537, 98.5474, 98.6636, 98.5756, 98.7197, 98.6103, 98.375, 98.5762, 98.6296, 98.8807
1807.23, 98.3557, 98.5634, 98.6694, 98.5773, 98.7147, 98.6121, 98.3859, 98.5765, 98.6159, 98.875
1807.17, 98.3524, 98.5799, 98.6767, 98.5771, 98.7126, 98.6097, 98.3984, 98.5742, 98.6066, 98.8735
1807.11, 98.3441, 98.5956, 98.6848, 98.5747, 98.7142, 98.6037, 98.4111, 98.5701, 98.6024, 98.8754
1807.05, 98.3317, 98.609, 98.6926, 98.5703, 98.7192, 98.5954, 98.4224, 98.5653, 98.6032, 98.8788
1806.99, 98.3167, 98.6189, 98.6995, 98.5636, 98.7265, 98.5871, 98.4306, 98.5607, 98.6078, 98.8821
1806.93, 98.301, 98.6241, 98.7047, 98.5548, 98.7341, 98.5808, 98.4344, 98.5567, 98.6147, 98.8836
1806.87, 98.2862, 98.6241, 98.708, 98.544, 98.7405, 98.5783, 98.433, 98.5538, 98.6219, 98.8827
1806.81, 98.2736, 98.6192, 98.7096, 98.5317, 98.7443, 98.5808, 98.4268, 98.552, 98.6279, 98.8799
1806.75, 98.2641, 98.6104, 98.7095, 98.5188, 98.7455, 98.5882, 98.4164, 98.5512, 98.6314, 98.8761
1806.69, 98.2581, 98.5995, 98.7083, 98.5066, 98.7445, 98.5995, 98.4032, 98.5515, 98.6323, 98.8727
1806.63, 98.2551, 98.5884, 98.706, 98.4966, 98.7424, 98.6132, 98.3888, 98.5529, 98.6309, 98.8708
