Wavenumber, 11301_2-16.SPA, 11302_2-16.SPA, 11303_2-16.SPA, 113121_2-22.SPA, 113122_2-22.SPA, 113123_2-22.SPA, 113151_2-22.SPA, 113152_2-22.SPA, 113153_2-22.SPA, 113181_2-22.SPA, 113182_2-22.SPA, 113183_2-22.SPA, 113241_2-22.SPA, 113242_2-22.SPA, 113243_2-22.SPA, 113301_2-22.SPA, 113302_2-22.SPA, 113303_2-22.SPA, 11331_2-16.SPA, 11332_2-16.SPA, 11333_2-16.SPA, 113361_2-22.SPA, 113362_2-22.SPA, 113363_2-22.SPA, 11361_2-16.SPA, 11362_2-16.SPA, 11363_2-16.SPA, 11391_2-22.SPA, 11392_2-22.SPA, 11393_2-22.SPA
1810, 98.4816, 98.5839, 97.9287, 98.3394, 98.8831, 98.5149, 98.6392, 98.8258, 98.8818, 98.6705, 98.526, 98.6009, 98.5715, 98.7309, 98.8232, 98.5282, 98.566, 98.8064, 98.6721, 98.2542, 98.5759, 98.2743, 98.6088, 98.7873, 99.1088, 98.3909, 98.58, 99.0543, 99.484, 98.4359
1809.94, 98.4802, 98.5965, 97.9381, 98.3352, 98.8968, 98.5214, 98.6351, 98.8271, 98.8864, 98.6806, 98.5267, 98.5967, 98.5606, 98.7566, 98.8239, 98.5371, 98.552, 98.8071, 98.6945, 98.2644, 98.562, 98.2871, 98.622, 98.7827, 99.1195, 98.3837, 98.5885, 99.0505, 99.4933, 98.4451
1809.88, 98.4788, 98.6107, 97.9516, 98.3381, 98.9041, 98.5386, 98.6356, 98.827, 98.8908, 98.6974, 98.5248, 98.5843, 98.5538, 98.785, 98.8247, 98.5444, 98.5449, 98.8056, 98.7125, 98.2841, 98.5544, 98.2975, 98.6352, 98.7757, 99.1253, 98.3755, 98.5894, 99.0366, 99.5104, 98.4499
1809.82, 98.4756, 98.6246, 97.9708, 98.3476, 98.9065, 98.5652, 98.6387, 98.8245, 98.8941, 98.7179, 98.5202, 98.5668, 98.5506, 98.8119, 98.8227, 98.5481, 98.5432, 98.8002, 98.7231, 98.3122, 98.5537, 98.3033, 98.6465, 98.7698, 99.1274, 98.3674, 98.5828, 99.0133, 99.5317, 98.4489
1809.76, 98.4693, 98.6366, 97.9968, 98.3616, 98.9063, 98.5975, 98.6418, 98.8197, 98.896, 98.7387, 98.5136, 98.5489, 98.5499, 98.8342, 98.8153, 98.5475, 98.5442, 98.7899, 98.7239, 98.3465, 98.5591, 98.3045, 98.6546, 98.7676, 99.1268, 98.3603, 98.5696, 98.9819, 99.5527, 98.4415
1809.7, 98.4598, 98.6455, 98.0293, 98.3772, 98.9066, 98.6305, 98.643, 98.813, 98.8967, 98.7566, 98.5073, 98.5349, 98.5506, 98.8502, 98.8013, 98.5438, 98.5454, 98.7746, 98.7143, 98.3834, 98.5686, 98.3033, 98.6587, 98.7708, 99.1241, 98.3549, 98.5516, 98.9445, 99.5694, 98.4284
1809.64, 98.4482, 98.6507, 98.0669, 98.3913, 98.909, 98.6587, 98.6415, 98.8054, 98.8969, 98.7695, 98.5037, 98.5279, 98.5512, 98.8605, 98.7807, 98.5393, 98.5452, 98.7561, 98.6955, 98.4186, 98.5791, 98.303, 98.6585, 98.7791, 99.1194, 98.3519, 98.5302, 98.9031, 99.5787, 98.4111
1809.58, 98.4373, 98.6519, 98.1066, 98.4019, 98.914, 98.6778, 98.6381, 98.7974, 98.8971, 98.7762, 98.5055, 98.5284, 98.5509, 98.8674, 98.7555, 98.5371, 98.543, 98.7368, 98.6702, 98.4474, 98.5881, 98.3068, 98.6539, 98.7909, 99.113, 98.3523, 98.5067, 98.8598, 99.5793, 98.3917
1809.52, 98.4298, 98.6486, 98.145, 98.4077, 98.9199, 98.6855, 98.6345, 98.7892, 98.8977, 98.7768, 98.514, 98.5345, 98.5495, 98.8748, 98.7286, 98.5395, 98.5398, 98.7193, 98.6418, 98.4656, 98.5936, 98.3161, 98.6453, 98.8042, 99.1055, 98.3575, 98.4821, 98.8166, 99.5713, 98.3724
1809.46, 98.4281, 98.6409, 98.1783, 98.4089, 98.9242, 98.6821, 98.6327, 98.7801, 98.8982, 98.7722, 98.5291, 98.5423, 98.5469, 98.8863, 98.704, 98.5477, 98.5376, 98.706, 98.6133, 98.47, 98.5955, 98.3306, 98.633, 98.8165, 99.0982, 98.3682, 98.4575, 98.775, 99.5569, 98.3548
1809.4, 98.4332, 98.6289, 98.2034, 98.4061, 98.9242, 98.6705, 98.6341, 98.7693, 98.8977, 98.7641, 98.5488, 98.5482, 98.544, 98.9044, 98.685, 98.5609, 98.5385, 98.6977, 98.5868, 98.4597, 98.5952, 98.3477, 98.6176, 98.8264, 99.0923, 98.3842, 98.4343, 98.7368, 99.5396, 98.3397
1809.34, 98.4443, 98.6134, 98.2178, 98.4001, 98.9183, 98.6554, 98.6388, 98.756, 98.895, 98.7543, 98.5697, 98.5492, 98.5412, 98.9294, 98.674, 98.5771, 98.5446, 98.6942, 98.5629, 98.4362, 98.5956, 98.3641, 98.5996, 98.833, 99.0892, 98.4039, 98.4143, 98.7036, 99.5236, 98.3277
1809.28, 98.4594, 98.596, 98.2205, 98.3919, 98.9065, 98.6417, 98.6454, 98.7398, 98.8889, 98.7448, 98.5878, 98.5444, 98.5392, 98.9596, 98.6721, 98.593, 98.5569, 98.6938, 98.5413, 98.4035, 98.5996, 98.3766, 98.5799, 98.8363, 99.0892, 98.4245, 98.3998, 98.6767, 99.513, 98.3187
