Wavenumber, 13001_2-22.SPA, 13011_2-22.SPA, 13021_2-22.SPA, 13031_2-22.SPA, 13051_2-22.SPA, 13071_2-22.SPA, 13091_2-22.SPA
1810, 98.594, 98.3681, 98.5125, 98.5382, 98.5617, 98.6356, 98.6261
1809.94, 98.5906, 98.3585, 98.5071, 98.5492, 98.5655, 98.6361, 98.6193
1809.88, 98.5854, 98.3465, 98.5019, 98.5589, 98.5676, 98.6381, 98.6157
1809.82, 98.5794, 98.3335, 98.4969, 98.5656, 98.5681, 98.6408, 98.6149
1809.76, 98.5735, 98.3211, 98.4928, 98.5687, 98.5678, 98.6436, 98.6167
1809.7, 98.5681, 98.3108, 98.4902, 98.5686, 98.5682, 98.6461, 98.6209
1809.64, 98.5636, 98.3034, 98.4901, 98.5666, 98.5701, 98.648, 98.6272
1809.58, 98.5602, 98.2997, 98.4932, 98.5646, 98.5738, 98.6495, 98.635
1809.52, 98.558, 98.3, 98.4999, 98.5642, 98.5783, 98.6504, 98.6436
1809.46, 98.557, 98.3045, 98.5098, 98.5671, 98.582, 98.6504, 98.6516
1809.4, 98.5569, 98.3126, 98.5219, 98.5743, 98.5831, 98.6495, 98.6578
1809.34, 98.5572, 98.3232, 98.5345, 98.5861, 98.5807, 98.6474, 98.6607
1809.28, 98.5572, 98.335, 98.5459, 98.6022, 98.5747, 98.6445, 98.6596
1809.22, 98.5563, 98.346, 98.5542, 98.6213, 98.5669, 98.6412, 98.6543
1809.16, 98.5544, 98.3547, 98.5585, 98.6414, 98.5598, 98.6385, 98.6455
1809.1, 98.5515, 98.3604, 98.5587, 98.6603, 98.5563, 98.6371, 98.6346
1809.04, 98.5484, 98.3633, 98.5556, 98.6755, 98.5586, 98.6374, 98.6234
1808.98, 98.5457, 98.3648, 98.5508, 98.6849, 98.5679, 98.6396, 98.6136
1808.92, 98.5437, 98.3665, 98.5461, 98.6875, 98.5836, 98.643, 98.6062
1808.86, 98.5422, 98.3699, 98.5433, 98.683, 98.6041, 98.6469, 98.6019
1808.8, 98.5401, 98.3753, 98.5433, 98.6721, 98.6266, 98.6506, 98.6004
1808.74, 98.5361, 98.382, 98.5464, 98.6566, 98.648, 98.6533, 98.6008
1808.68, 98.5288, 98.3879, 98.5521, 98.6384, 98.6655, 98.6546, 98.6021
1808.62, 98.5176, 98.3908, 98.5595, 98.6192, 98.6768, 98.6542, 98.6031
1808.56, 98.5027, 98.3887, 98.567, 98.6007, 98.6806, 98.6518, 98.6032
1808.5, 98.4855, 98.3809, 98.5734, 98.5836, 98.6765, 98.6472, 98.6017
1808.44, 98.4679, 98.3682, 98.5773, 98.5683, 98.6654, 98.6404, 98.5987
1808.38, 98.4519, 98.3525, 98.5779, 98.5548, 98.6489, 98.6318, 98.5944
1808.32, 98.4393, 98.3363, 98.5747, 98.5425, 98.6297, 98.6224, 98.5891
1808.26, 98.4309, 98.3221, 98.5676, 98.5312, 98.6107, 98.6136, 98.5838
1808.2, 98.4268, 98.3113, 98.5571, 98.5203, 98.5945, 98.6071, 98.5795
1808.13, 98.4259, 98.3046, 98.544, 98.5095, 98.5828, 98.6043, 98.5772
1808.07, 98.4271, 98.3011, 98.5296, 98.4986, 98.576, 98.6055, 98.5781
1808.01, 98.4289, 98.3, 98.5155, 98.4878, 98.5734, 98.6101, 98.583
1807.95, 98.43, 98.2998, 98.5029, 98.4775, 98.5734, 98.6164, 98.5922
1807.89, 98.4297, 98.2997, 98.4928, 98.4686, 98.5741, 98.6221, 98.6052
1807.83, 98.4277, 98.299, 98.4859, 98.462, 98.5742, 98.625, 98.6207
1807.77, 98.4243, 98.2974, 98.482, 98.4591, 98.5735, 98.6239, 98.6366
1807.71, 98.42, 98.2946, 98.4808, 98.4608, 98.5728, 98.6187, 98.6507
1807.65, 98.4161, 98.2903, 98.4819, 98.4673, 98.5736, 98.6108, 98.6607
1807.59, 98.4137, 98.284, 98.4846, 98.4782, 98.5773, 98.6017, 98.6652
1807.53, 98.4136, 98.2754, 98.4888, 98.4924, 98.5847, 98.5935, 98.6637
1807.47, 98.4162, 98.2642, 98.4942, 98.5078, 98.5958, 98.5874, 98.6567
1807.41, 98.4211, 98.2507, 98.5006, 98.5225, 98.6093, 98.584, 98.6461
1807.35, 98.4273, 98.2356, 98.5077, 98.5344, 98.6232, 98.583, 98.634
1807.29, 98.4332, 98.2198, 98.5147, 98.5421, 98.6353, 98.5841, 98.6227
1807.23, 98.4373, 98.2044, 98.5206, 98.5446, 98.6437, 98.5871, 98.6144
1807.17, 98.4383, 98.1906, 98.5241, 98.5422, 98.6472, 98.5922, 98.6101
1807.11, 98.4358, 98.1791, 98.5242, 98.5355, 98.6453, 98.5996, 98.6104
1807.05, 98.43, 98.1707, 98.52, 98.5259, 98.6382, 98.6099, 98.6146
1806.99, 98.422, 98.1656, 98.5113, 98.515, 98.6265, 98.6227, 98.6216
1806.93, 98.413, 98.1641, 98.4986, 98.5048, 98.6114, 98.6372, 98.6298
1806.87, 98.4044, 98.166, 98.4831, 98.4966, 98.5939, 98.6517, 98.6374
1806.81, 98.3974, 98.1711, 98.4665, 98.4916, 98.5755, 98.6641, 98.643
1806.75, 98.3926, 98.1786, 98.4511, 98.4901, 98.5573, 98.6726, 98.6457
1806.69, 98.3904, 98.188, 98.439, 98.4915, 98.5404, 98.6758, 98.645
1806.63, 98.3907, 98.1982, 98.4319, 98.4949, 98.5254, 98.6734, 98.6412
1806.57, 98.3935, 98.2085, 98.4309, 98.4988, 98.5129, 98.6659, 98.6354
1806.51, 98.3983, 98.2181, 98.436, 98.5019, 98.5026, 98.6544, 98.6289
1806.45, 98.4049, 98.2265, 98.4458, 98.5032, 98.4942, 98.6399, 98.623
1806.39, 98.4128, 98.2331, 98.4581, 98.5024, 98.4874, 98.6236, 98.6188
1806.33, 98.4215, 98.2375, 98.4697, 98.4996, 98.4818, 98.6063, 98.6163
1806.27, 98.4302, 98.2389, 98.4778, 98.4951, 98.4776, 98.5886, 98.6151
1806.21, 98.4382, 98.2369, 98.4799, 98.4894, 98.4752, 98.5709, 98.6136
1806.15, 98.4451, 98.231, 98.4753, 98.4828, 98.4752, 98.5538, 98.6102
1806.09, 98.4502, 98.2211, 98.4646, 98.4751, 98.4781, 98.5378, 98.6031
1806.03, 98.4535, 98.2081, 98.4498, 98.4666, 98.484, 98.5236, 98.5916
1805.97, 98.4547, 98.1933, 98.4337, 98.4575, 98.4927, 98.5114, 98.576
1805.91, 98.4539, 98.1787, 98.4191, 98.4485, 98.5033, 98.5011, 98.5578
1805.84, 98.4511, 98.1666, 98.408, 98.4403, 98.5144, 98.4923, 98.5393
1805.78, 98.4463, 98.1586, 98.4009, 98.4337, 98.5247, 98.4846, 98.5234
1805.72, 98.4399, 98.1556, 98.3974, 98.4287, 98.5333, 98.4775, 98.5125
1805.66, 98.432, 98.1576, 98.3963, 98.4246, 98.5393, 98.4711, 98.508
1805.6, 98.4231, 98.1634, 98.396, 98.4198, 98.5426, 98.466, 98.5101
1805.54, 98.4139, 98.1712, 98.3956, 98.4125, 98.5432, 98.463, 98.5178
1805.48, 98.4051, 98.1794, 98.3949, 98.4012, 98.5414, 98.4631, 98.5291
1805.42, 98.397, 98.1865, 98.3942, 98.3856, 98.5373, 98.4666, 98.5418
1805.36, 98.3901, 98.192, 98.3944, 98.3667, 98.531, 98.4734, 98.5538
