Wavenumber, 13001_2-22.SPA, 13002_2-22.SPA, 13003_2-22.SPA, 13011_2-22.SPA, 13012_2-22.SPA, 13013_2-22.SPA, 13021_2-22.SPA, 13022_2-22.SPA, 13023_2-22.SPA, 13031_2-22.SPA, 13032_2-22.SPA, 13033_2-22.SPA, 13051_2-22.SPA, 13052_2-22.SPA, 13053_2-22.SPA, 13071_2-22.SPA, 13072_2-22.SPA, 13073_2-22.SPA, 13091_2-22.SPA, 13092_2-22.SPA, 13093_2-22.SPA
1810, 98.5254, 98.7389, 98.5177, 98.5765, 98.4495, 98.0783, 98.6607, 98.4801, 98.3967, 98.4253, 98.4253, 98.7641, 98.9476, 98.4657, 98.2718, 98.5089, 98.5601, 98.8379, 98.6204, 98.5929, 98.6649
1809.94, 98.5288, 98.7308, 98.5121, 98.5678, 98.4375, 98.0703, 98.6469, 98.4939, 98.3807, 98.4415, 98.4415, 98.7646, 98.9677, 98.454, 98.2748, 98.4947, 98.5778, 98.8358, 98.6194, 98.5767, 98.6617
1809.88, 98.5327, 98.7151, 98.5084, 98.5499, 98.4252, 98.0644, 98.6306, 98.5073, 98.3677, 98.4574, 98.4574, 98.762, 98.9791, 98.4454, 98.2784, 98.4897, 98.5958, 98.8287, 98.6112, 98.5702, 98.6656
1809.82, 98.5383, 98.6931, 98.5068, 98.5248, 98.4146, 98.061, 98.6142, 98.5188, 98.3577, 98.4708, 98.4708, 98.7552, 98.9814, 98.4408, 98.282, 98.4935, 98.6118, 98.8171, 98.5949, 98.5741, 98.6757
1809.76, 98.5466, 98.6666, 98.5072, 98.4955, 98.408, 98.0599, 98.5999, 98.5278, 98.3506, 98.4808, 98.4808, 98.7444, 98.976, 98.4419, 98.2856, 98.5049, 98.6242, 98.8018, 98.572, 98.5877, 98.6904
1809.7, 98.5578, 98.6378, 98.5087, 98.4642, 98.4066, 98.0615, 98.589, 98.5344, 98.3471, 98.4876, 98.4876, 98.7305, 98.9658, 98.4497, 98.2891, 98.5216, 98.6327, 98.7839, 98.5459, 98.6096, 98.7073
1809.64, 98.5711, 98.6097, 98.5099, 98.4326, 98.4113, 98.0664, 98.5828, 98.5396, 98.3479, 98.4921, 98.4921, 98.7156, 98.9541, 98.464, 98.2923, 98.5409, 98.6386, 98.7646, 98.5206, 98.637, 98.724
1809.58, 98.585, 98.5859, 98.5097, 98.4017, 98.4221, 98.0753, 98.5817, 98.5439, 98.3541, 98.4958, 98.4958, 98.702, 98.9441, 98.4826, 98.2945, 98.5595, 98.6432, 98.7457, 98.5002, 98.6666, 98.7382
1809.52, 98.5973, 98.5696, 98.5071, 98.3724, 98.4386, 98.0891, 98.5857, 98.5478, 98.3662, 98.5004, 98.5004, 98.6918, 98.938, 98.5016, 98.2952, 98.5746, 98.6476, 98.7289, 98.4875, 98.6949, 98.7483
1809.46, 98.6058, 98.5637, 98.5015, 98.346, 98.4596, 98.1078, 98.5945, 98.5515, 98.3833, 98.5074, 98.5074, 98.6864, 98.9363, 98.5161, 98.2936, 98.5839, 98.6518, 98.7155, 98.4833, 98.7187, 98.7529
1809.4, 98.6084, 98.569, 98.4933, 98.3244, 98.483, 98.1302, 98.6074, 98.555, 98.4033, 98.5184, 98.5184, 98.686, 98.9383, 98.5218, 98.2893, 98.5866, 98.6553, 98.7066, 98.4864, 98.7356, 98.7513
1809.34, 98.604, 98.5844, 98.4832, 98.31, 98.506, 98.1537, 98.623, 98.5582, 98.4223, 98.5342, 98.5342, 98.6901, 98.9424, 98.5168, 98.2827, 98.5833, 98.657, 98.702, 98.4945, 98.745, 98.7427
1809.28, 98.5926, 98.6067, 98.4723, 98.3046, 98.5255, 98.175, 98.6398, 98.5613, 98.4366, 98.5546, 98.5546, 98.6975, 98.9467, 98.5024, 98.275, 98.5762, 98.6567, 98.7006, 98.5046, 98.7475, 98.7268
1809.22, 98.5754, 98.6313, 98.4623, 98.3089, 98.5385, 98.1906, 98.6556, 98.5645, 98.4426, 98.5785, 98.5785, 98.707, 98.9496, 98.4829, 98.2682, 98.5678, 98.6554, 98.7004, 98.514, 98.7447, 98.7042
1809.16, 98.5552, 98.6534, 98.4546, 98.3225, 98.5437, 98.1979, 98.669, 98.5677, 98.4389, 98.6034, 98.6034, 98.7176, 98.9505, 98.4648, 98.2642, 98.5606, 98.6553, 98.6996, 98.5213, 98.7391, 98.6762
