Wavenumber, 9701_3-1.SPA, 9702_3-1.SPA, 9703_3-1.SPA, 971051_3-1.SPA, 971052_3-1.SPA, 971053_3-1.SPA, 97151_3-1.SPA, 97152_3-1.SPA, 97153_3-1.SPA, 97301_3-1.SPA, 97302_3-1.SPA, 97303_3-1.SPA, 97451_3-1.SPA, 97452_3-1.SPA, 97453_3-1.SPA, 97601_3-1.SPA, 97602_3-1.SPA, 97603_3-1.SPA, 97751_3-1.SPA, 97752_3-1.SPA, 97753_3-1.SPA, 97901_3-1.SPA, 97902_3-1.SPA, 97903_3-1.SPA
1810, 98.6534, 98.2362, 98.4002, 98.5505, 98.6309, 98.314, 98.2235, 98.7356, 98.0535, 98.2856, 98.7638, 98.4, 98.3802, 98.6349, 98.3886, 98.3119, 98.3446, 98.8298, 98.0278, 98.6632, 98.6823, 98.3182, 98.6143, 98.4005
1809.94, 98.6442, 98.2223, 98.4022, 98.5515, 98.638, 98.2952, 98.2139, 98.7189, 98.0694, 98.2857, 98.7502, 98.3867, 98.3744, 98.6342, 98.4007, 98.3118, 98.3208, 98.822, 98.0347, 98.6631, 98.6913, 98.3286, 98.6128, 98.3941
1809.88, 98.6331, 98.2185, 98.4077, 98.5518, 98.6427, 98.2833, 98.2096, 98.6953, 98.087, 98.2883, 98.7482, 98.3722, 98.3751, 98.6341, 98.4134, 98.3159, 98.2927, 98.8129, 98.0425, 98.6666, 98.7015, 98.3421, 98.6143, 98.3983
1809.82, 98.6203, 98.2248, 98.416, 98.5505, 98.6424, 98.2801, 98.2105, 98.6671, 98.1058, 98.2942, 98.7573, 98.3563, 98.3821, 98.6354, 98.4251, 98.3237, 98.2632, 98.8043, 98.0503, 98.6731, 98.7101, 98.3571, 98.619, 98.413
1809.76, 98.6068, 98.2392, 98.425, 98.5471, 98.6355, 98.2854, 98.2152, 98.6372, 98.1244, 98.3034, 98.7742, 98.3382, 98.393, 98.6382, 98.4347, 98.3336, 98.2355, 98.7977, 98.0573, 98.6809, 98.7147, 98.3732, 98.6259, 98.4354
1809.7, 98.5939, 98.2577, 98.4316, 98.542, 98.6213, 98.2972, 98.222, 98.6089, 98.1412, 98.3154, 98.7944, 98.3177, 98.4039, 98.642, 98.4415, 98.3434, 98.2129, 98.7937, 98.0635, 98.688, 98.7144, 98.391, 98.633, 98.462
1809.64, 98.5831, 98.2754, 98.4329, 98.5358, 98.6015, 98.3119, 98.2292, 98.5855, 98.1545, 98.3295, 98.8139, 98.2951, 98.4106, 98.6458, 98.4451, 98.3514, 98.1967, 98.7917, 98.069, 98.6921, 98.7093, 98.4114, 98.6382, 98.4878
1809.58, 98.5764, 98.288, 98.4269, 98.5296, 98.5794, 98.326, 98.2356, 98.5696, 98.1637, 98.3447, 98.8304, 98.2722, 98.4104, 98.6479, 98.4455, 98.3567, 98.1872, 98.79, 98.0743, 98.6922, 98.7006, 98.4351, 98.6392, 98.5085
1809.52, 98.5755, 98.2926, 98.413, 98.5242, 98.559, 98.3361, 98.2405, 98.5624, 98.1688, 98.3599, 98.8436, 98.2512, 98.4027, 98.6469, 98.4428, 98.3595, 98.1828, 98.7868, 98.0799, 98.6883, 98.6898, 98.4619, 98.6349, 98.5206
1809.46, 98.5818, 98.2884, 98.3926, 98.5201, 98.5446, 98.3407, 98.244, 98.5639, 98.1709, 98.3739, 98.855, 98.2343, 98.3891, 98.6419, 98.4375, 98.361, 98.1817, 98.781, 98.086, 98.6818, 98.679, 98.4907, 98.6254, 98.5222
1809.4, 98.5957, 98.277, 98.3678, 98.5175, 98.5393, 98.3395, 98.2461, 98.5726, 98.171, 98.3845, 98.8664, 98.2234, 98.3725, 98.633, 98.4301, 98.3625, 98.1821, 98.7727, 98.0925, 98.6748, 98.6703, 98.5195, 98.6123, 98.5134
