Wavenumber, 9701_3-1.SPA, 971051_3-1.SPA, 97151_3-1.SPA, 97301_3-1.SPA, 97451_3-1.SPA, 97601_3-1.SPA, 97751_3-1.SPA, 97901_3-1.SPA
1810, 98.4299, 98.4985, 98.3375, 98.4831, 98.4679, 98.4954, 98.4578, 98.4444
1809.94, 98.4229, 98.4949, 98.3341, 98.4742, 98.4698, 98.4849, 98.463, 98.4452
1809.88, 98.4198, 98.4926, 98.3307, 98.4696, 98.4742, 98.4738, 98.4702, 98.4516
1809.82, 98.4204, 98.491, 98.3278, 98.4693, 98.4809, 98.4637, 98.4778, 98.463
1809.76, 98.4237, 98.4893, 98.3256, 98.472, 98.4886, 98.4556, 98.4843, 98.4782
1809.7, 98.4277, 98.4868, 98.324, 98.4759, 98.4958, 98.45, 98.4886, 98.4953
1809.64, 98.4305, 98.4831, 98.3231, 98.4795, 98.5005, 98.4466, 98.4901, 98.5125
1809.58, 98.4304, 98.4783, 98.3229, 98.4824, 98.5013, 98.4446, 98.489, 98.5276
1809.52, 98.427, 98.4731, 98.3239, 98.4849, 98.4975, 98.443, 98.486, 98.5391
1809.46, 98.4209, 98.4684, 98.3263, 98.4877, 98.4895, 98.4412, 98.4823, 98.5461
1809.4, 98.4135, 98.4655, 98.3299, 98.4914, 98.4785, 98.4391, 98.4792, 98.5484
1809.34, 98.4065, 98.465, 98.3339, 98.4958, 98.4663, 98.4371, 98.4781, 98.5467
1809.28, 98.4014, 98.4678, 98.337, 98.4998, 98.4549, 98.436, 98.4795, 98.5422
1809.22, 98.3989, 98.4739, 98.3372, 98.5021, 98.4458, 98.4365, 98.4834, 98.5365
1809.16, 98.3991, 98.4831, 98.3331, 98.5014, 98.4405, 98.4389, 98.4892, 98.5308
1809.1, 98.4014, 98.4949, 98.3242, 98.4973, 98.4396, 98.4426, 98.4957, 98.5261
1809.04, 98.4046, 98.5085, 98.311, 98.4902, 98.4434, 98.447, 98.5016, 98.5228
1808.98, 98.4079, 98.5229, 98.2955, 98.4815, 98.4517, 98.4511, 98.5058, 98.5209
1808.92, 98.4104, 98.5369, 98.2805, 98.4725, 98.4638, 98.4543, 98.5078, 98.5196
1808.86, 98.4114, 98.5494, 98.2686, 98.4645, 98.4785, 98.4565, 98.5076, 98.5184
1808.8, 98.4106, 98.5594, 98.2614, 98.4577, 98.4939, 98.4581, 98.5056, 98.5163
1808.74, 98.4074, 98.566, 98.2593, 98.4519, 98.5081, 98.4601, 98.5024, 98.5129
1808.68, 98.4019, 98.5688, 98.2611, 98.4464, 98.5192, 98.4633, 98.4985, 98.508
1808.62, 98.3941, 98.5678, 98.2649, 98.4409, 98.5255, 98.4682, 98.4938, 98.5016
1808.56, 98.3847, 98.5633, 98.2685, 98.4351, 98.5261, 98.4745, 98.4882, 98.4942
1808.5, 98.3747, 98.5558, 98.2707, 98.4297, 98.5211, 98.4817, 98.4814, 98.4866
1808.44, 98.3655, 98.5458, 98.2708, 98.4254, 98.5116, 98.4886, 98.4732, 98.4794
1808.38, 98.3586, 98.5339, 98.2697, 98.4229, 98.4992, 98.4943, 98.4637, 98.4731
1808.32, 98.3552, 98.5206, 98.2685, 98.4223, 98.4859, 98.498, 98.4537, 98.4681
1808.26, 98.3556, 98.5062, 98.2681, 98.4235, 98.4736, 98.4995, 98.4441, 98.4643
1808.2, 98.3598, 98.4916, 98.2692, 98.4259, 98.4635, 98.4988, 98.4358, 98.4619
1808.13, 98.3669, 98.4775, 98.2713, 98.4289, 98.4562, 98.4965, 98.4298, 98.4606
1808.07, 98.3757, 98.4651, 98.2734, 98.4318, 98.4514, 98.4929, 98.4261, 98.4605
1808.01, 98.3849, 98.4556, 98.2746, 98.434, 98.4484, 98.488, 98.4244, 98.4616
1807.95, 98.3933, 98.45, 98.2741, 98.4352, 98.4465, 98.4814, 98.4242, 98.4638
1807.89, 98.4, 98.4489, 98.2718, 98.4352, 98.4448, 98.4726, 98.4245, 98.4667
1807.83, 98.4047, 98.4525, 98.2682, 98.4339, 98.443, 98.4611, 98.4249, 98.4697
1807.77, 98.407, 98.4604, 98.2644, 98.4312, 98.4409, 98.4472, 98.4254, 98.4722
1807.71, 98.4073, 98.4716, 98.2614, 98.4276, 98.4389, 98.4319, 98.4266, 98.4733
1807.65, 98.4057, 98.4852, 98.2602, 98.4237, 98.4376, 98.4171, 98.4293, 98.4725
1807.59, 98.4028, 98.4998, 98.2609, 98.4207, 98.4375, 98.4054, 98.4343, 98.4697
1807.53, 98.3992, 98.5141, 98.2635, 98.4198, 98.4391, 98.3991, 98.4419, 98.4656
1807.47, 98.3951, 98.5268, 98.2674, 98.4219, 98.4423, 98.4002, 98.4518, 98.4611
1807.41, 98.3907, 98.5365, 98.272, 98.4274, 98.4467, 98.4088, 98.463, 98.4573
1807.35, 98.3861, 98.5421, 98.2767, 98.4362, 98.4514, 98.424, 98.4736, 98.4551
1807.29, 98.381, 98.5429, 98.2813, 98.4476, 98.4555, 98.4431, 98.4818, 98.4547
1807.23, 98.3753, 98.5387, 98.2854, 98.4607, 98.4577, 98.4627, 98.4861, 98.4557
1807.17, 98.3689, 98.5302, 98.2889, 98.4744, 98.4574, 98.4797, 98.4856, 98.4574
1807.11, 98.362, 98.5191, 98.2916, 98.4878, 98.4541, 98.4914, 98.4803, 98.459
1807.05, 98.3553, 98.5078, 98.2934, 98.5003, 98.4481, 98.497, 98.4713, 98.4602
1806.99, 98.3493, 98.4988, 98.2941, 98.5109, 98.4404, 98.4969, 98.4601, 98.4609
1806.93, 98.3448, 98.4941, 98.2935, 98.5188, 98.4322, 98.4925, 98.4484, 98.4619
1806.87, 98.342, 98.4948, 98.2915, 98.5231, 98.4249, 98.4857, 98.438, 98.4638
1806.81, 98.3406, 98.5006, 98.2882, 98.5233, 98.4198, 98.4784, 98.4297, 98.4673
1806.75, 98.34, 98.5105, 98.2838, 98.519, 98.4179, 98.4715, 98.4238, 98.4721
1806.69, 98.3394, 98.5225, 98.2783, 98.5109, 98.4194, 98.4654, 98.42, 98.4777
1806.63, 98.3381, 98.5347, 98.272, 98.5004, 98.4241, 98.4596, 98.4175, 98.4829
1806.57, 98.3357, 98.5458, 98.2651, 98.4891, 98.4311, 98.4534, 98.4154, 98.4864
1806.51, 98.3323, 98.5549, 98.2578, 98.4788, 98.4393, 98.4464, 98.4134, 98.4872
1806.45, 98.3283, 98.5616, 98.2501, 98.4705, 98.4476, 98.4389, 98.4111, 98.4849
1806.39, 98.3241, 98.5656, 98.2421, 98.4643, 98.4549, 98.4313, 98.4091, 98.4798
1806.33, 98.3201, 98.5665, 98.234, 98.4594, 98.4604, 98.4248, 98.4078, 98.4725
1806.27, 98.3163, 98.5635, 98.2259, 98.4548, 98.4633, 98.4206, 98.4078, 98.4642
1806.21, 98.3127, 98.5559, 98.2184, 98.4491, 98.4631, 98.4196, 98.409, 98.4555
1806.15, 98.309, 98.5431, 98.212, 98.4418, 98.4593, 98.4222, 98.4111, 98.4472
1806.09, 98.3049, 98.5252, 98.2074, 98.4329, 98.4518, 98.4284, 98.4134, 98.4394
1806.03, 98.3006, 98.5037, 98.2048, 98.4232, 98.4405, 98.4375, 98.4148, 98.4321
1805.97, 98.2966, 98.4804, 98.204, 98.4139, 98.4259, 98.4484, 98.4147, 98.425
1805.91, 98.2933, 98.4576, 98.2044, 98.406, 98.409, 98.4599, 98.4129, 98.4181
1805.84, 98.2914, 98.4375, 98.2051, 98.4, 98.3911, 98.4707, 98.4097, 98.4111
1805.78, 98.2912, 98.4212, 98.2049, 98.3962, 98.374, 98.4797, 98.4062, 98.4043
1805.72, 98.2926, 98.4088, 98.203, 98.3941, 98.3593, 98.4859, 98.4032, 98.3979
1805.66, 98.2952, 98.3998, 98.1994, 98.3933, 98.348, 98.4887, 98.4017, 98.3921
1805.6, 98.2985, 98.3933, 98.1942, 98.393, 98.3402, 98.4877, 98.4021, 98.3872
1805.54, 98.3015, 98.3885, 98.1885, 98.3928, 98.3353, 98.4824, 98.4041, 98.3835
1805.48, 98.3036, 98.3857, 98.183, 98.392, 98.332, 98.4728, 98.4069, 98.3812
1805.42, 98.3042, 98.3854, 98.1783, 98.3904, 98.329, 98.4591, 98.4098, 98.3805
1805.36, 98.303, 98.3885, 98.1742, 98.3874, 98.3255, 98.4423, 98.4122, 98.3812
1805.3, 98.2998, 98.3959, 98.1702, 98.383, 98.3214, 98.4237, 98.4141, 98.3834
1805.24, 98.2945, 98.4073, 98.1651, 98.377, 98.3175, 98.4055, 98.4157, 98.3869
1805.18, 98.2872, 98.4218, 98.1584, 98.3698, 98.3152, 98.39, 98.4178, 98.3914
1805.12, 98.2782, 98.4377, 98.1497, 98.3616, 98.3155, 98.3795, 98.4206, 98.3966
1805.06, 98.2678, 98.4528, 98.1395, 98.3529, 98.3188, 98.3755, 98.4239, 98.4026
1805, 98.2568, 98.4654, 98.1288, 98.3441, 98.3246, 98.3783, 98.427, 98.409
1804.94, 98.2462, 98.4745, 98.1186, 98.3354, 98.3312, 98.3867, 98.4286, 98.416
1804.88, 98.2369, 98.4798, 98.1096, 98.3272, 98.337, 98.3983, 98.4274, 98.4234
1804.82, 98.2302, 98.4814, 98.102, 98.3202, 98.3401, 98.4099, 98.4229, 98.4312
1804.76, 98.2265, 98.48, 98.0953, 98.3151, 98.3398, 98.4185, 98.4152, 98.4393
1804.7, 98.2263, 98.4762, 98.089, 98.3133, 98.3363, 98.4219, 98.4056, 98.4472
1804.64, 98.2289, 98.4706, 98.0826, 98.3159, 98.3307, 98.4197, 98.3959, 98.4543
1804.58, 98.2331, 98.4637, 98.0763, 98.324, 98.3247, 98.4128, 98.3882, 98.4597
1804.52, 98.2371, 98.4563, 98.0708, 98.3374, 98.3195, 98.4032, 98.3842, 98.4626
1804.46, 98.2393, 98.4495, 98.0672, 98.355, 98.3157, 98.3935, 98.3846, 98.4624
1804.4, 98.2379, 98.4446, 98.0663, 98.3748, 98.3134, 98.3857, 98.3893, 98.4586
1804.34, 98.2323, 98.4428, 98.0684, 98.3944, 98.3117, 98.3806, 98.3973, 98.4514
1804.28, 98.2227, 98.4449, 98.073, 98.4113, 98.3098, 98.3781, 98.4066, 98.4416
1804.22, 98.2102, 98.4508, 98.0793, 98.4241, 98.3072, 98.3769, 98.4156, 98.4305
1804.16, 98.1965, 98.4594, 98.0859, 98.432, 98.304, 98.3755, 98.4224, 98.4194
1804.1, 98.1834, 98.4691, 98.092, 98.4353, 98.3004, 98.3725, 98.4257, 98.41
1804.04, 98.1722, 98.4777, 98.0972, 98.4344, 98.2972, 98.3673, 98.4248, 98.4034
1803.98, 98.1635, 98.4837, 98.1019, 98.4299, 98.2945, 98.3601, 98.4196, 98.4003
1803.92, 98.1572, 98.4861, 98.1064, 98.4217, 98.292, 98.3517, 98.4108, 98.4006
1803.86, 98.1525, 98.4849, 98.111, 98.4096, 98.2893, 98.3432, 98.3996, 98.4035
1803.8, 98.1487, 98.481, 98.1156, 98.3935, 98.2852, 98.3359, 98.3878, 98.4078
1803.74, 98.1447, 98.4755, 98.1191, 98.3739, 98.2791, 98.3307, 98.3774, 98.4119
1803.68, 98.1402, 98.4696, 98.1202, 98.3521, 98.2708, 98.3281, 98.3699, 98.4143
1803.61, 98.1351, 98.4641, 98.1177, 98.3306, 98.2611, 98.3283, 98.366, 98.4138
1803.55, 98.1294, 98.4591, 98.1107, 98.3117, 98.2513, 98.3314, 98.3658, 98.4094
1803.49, 98.1233, 98.4546, 98.0996, 98.2978, 98.2431, 98.3368, 98.3679, 98.401
1803.43, 98.1163, 98.4501, 98.0855, 98.29, 98.238, 98.3439, 98.3708, 98.3889
1803.37, 98.1081, 98.4457, 98.0702, 98.288, 98.2371, 98.3517, 98.3726, 98.3742
